fips,stateabb,urban,suburb,town,rural,perind,perasn,perhsp,perblk,perwht,perfl,perrl,perfrl,perell,perspeced,totenrl,hswhtblk,hswhthsp,hsflnfl,hsecdnec,rswhtblk,rswhthsp,rsflnfl,rsecdnec,perecd,baplusavgall,baplusavgblk,baplusavgwht,baplusavghsp,povertyavgall,povertyavgblk,povertyavgwht,povertyavghsp,unempavgall,unempavgblk,unempavgwht,unempavghsp,snapavgall,snapavgblk,snapavgwht,snapavghsp,single_momavgall,single_momavgblk,single_momavgwht,single_momavghsp,sesavgall,sesavgwht,sesavgblk,sesavghsp,sesavgnam,sesavgwhtblk,sesavgwhthsp,lninc50avgall,lninc50avgwht,lninc50avgblk,lninc50avghsp
18,IN,0.31787279,0.27573276,0.15147877,0.25491568,0.0025677835,0.02028273,0.10486133,0.12969099,0.74259716,0.41185212,0.081247985,0.49308798,0.049814187,0.16277659,475726,0.50915557,0.28327608,0.1551248,0.15875617,0.51408041,0.27337801,0.19349097,0.19909053,0.48111328,0.23754962,0.17511551,0.2489917,0.12888509,0.14150438,0.29546726,0.11288953,0.26066896,0.077116281,0.15724412,0.065340213,0.090789892,0.10615617,0.2723532,0.085253753,0.16825642,0.18162799,0.49452248,0.15000166,0.22421245,-0.11553894,0.2087611,-2.5611985,-1.0681024,-1.049989,2.7699594,1.2768635,10.809783,10.86613,10.345068,10.586464
19,IA,0.30086672,0.10391077,0.26152766,0.33369485,0.0044655968,0.023470853,0.099445954,0.058572784,0.81404483,0.33556166,0.075670607,0.41122922,0.048937835,0.13062733,214915,0.29145411,0.24142414,0.12572293,0.14342391,0.21491139,0.21659589,0.15457365,0.17922352,0.41414195,0.26158825,0.1908979,0.27356166,0.12232926,0.11790444,0.35314026,0.10006191,0.2405498,0.052315731,0.1358557,0.04447867,0.083031647,0.10098814,0.37543455,0.087455705,0.21223226,0.14262147,0.4781332,0.12834826,0.24448115,0.23728362,0.43020147,-2.9592888,-1.1723117,-1.9974108,3.3894904,1.6025132,10.863141,10.890078,10.212667,10.584332
20,KS,0.26644036,0.19803682,0.28540316,0.25011966,0.011694406,0.028194366,0.18559381,0.07773605,0.69678134,0.3924827,0.10086457,0.4933472,0.093498245,0.13981979,214700.8888888889,0.33828348,0.3073056,0.19161673,0.21549132,0.30810592,0.34106392,0.23197186,0.26158279,0.48571834,0.30728251,0.20485944,0.32913858,0.12430155,0.12707275,0.26051772,0.10007776,0.23337768,0.058096308,0.13173658,0.048099704,0.076092586,0.081462733,0.23109448,0.064248741,0.13698666,0.15565927,0.42120272,0.13159002,0.21529426,0.25979853,0.55191338,-1.968364,-0.81064397,-1.0511239000000001,2.5202775,1.3625574,10.852723,10.906787,10.399646,10.589984
21,KY,0.20136915,0.19610114,0.250543,0.35198671,0.0013440396,0.015566465,0.05237614,0.10933486,0.82137847,0.51137984,0.065253794,0.5766331,0.028588656,0.14823705,302277.05,0.34369752,0.19071659,0.092935756,0.11606665,0.29681629,0.12642868,0.11949742,0.14447168,0.5952096,0.21723437,0.1680184,0.22383125,0.16774923,0.18123606,0.30704278,0.16485232,0.29832065,0.082170337,0.13646403,0.073439308,0.078866333,0.15201725,0.27409974,0.13956995,0.20927674,0.19058765,0.48254272,0.16717829,0.20957422,-0.51108259,-0.29912204,-2.5094481,-1.202405,-1.8833704,2.210326,0.903283,10.683812,10.719907,10.30022,10.518049
22,LA,0.38466591,0.31145957,0.14548004,0.1583945,0.0078963451,0.01447705,0.047174059,0.45507079,0.47538173,0.59912646,0.070639282,0.66973984,0.024035536,0.11919939,319323.3,0.38730794,0.26391977,0.16406138,0.18972145,0.43999127,0.23236212,0.20069338,0.21155792,0.70050609,0.2198835,0.14589289,0.25648832,0.1813878,0.19219631,0.32914057,0.11791807,0.21451771,0.081031635,0.12966427,0.055696003,0.074223362,0.16550791,0.31030923,0.099505298,0.14370231,0.24976881,0.48413688,0.14809471,0.21895492,-0.71895456,0.22666752,-2.7306485,-0.68009764,-1.2872939,2.9573162,0.90676516,10.694263,10.896813,10.217155,10.644365
23,ME,0.12637183,0.16407999,0.18457985,0.52496833,0.0065328884,0.015363502,0.017981978,0.031089898,0.92903172999999994,0.35501096,0.070670255,0.42567572,0.028018897,0.16302642,81762.05,0.31354988,0.13645211,0.096563213,0.11229819,0.19090469,0.031995144,0.11419308,0.14149384,0.44853067,0.28136656,0.22303736,0.28394887,0.27124071,0.12888679,0.42705333,0.12080083,0.23834354,0.070644625,0.14658456,0.060221326,0.092080325,0.14688818,0.42812926,0.14012855,0.23415995,0.15186787,0.36153859,0.14691034,0.23755835,-0.050966203,0.06169707,-3.0362437,-1.0771751,-2.8010459,3.0979407,1.1388723,10.806007,10.817301,10.219391,10.591645
24,MD,0.12547244,0.77165359,0.017715655,0.085158288,0.0032696298,0.064560227,0.13219249,0.35946554,0.44051212,0.36186394,0.067445017,0.42929918,0.063883334,0.11956526,379071.8888888889,0.4782497,0.38505995,0.22066917,0.24283923,0.53804845,0.43324089,0.26249191,0.29250866,0.43170911,0.37158993,0.26900801,0.39985865,0.20333804,0.09255819,0.14108969,0.062395379,0.12725113,0.068998314,0.10103221,0.049557295,0.067857355,0.086558335,0.15937515,0.051368661,0.10752484,0.21201885,0.41134641,0.12884288,0.20895512,0.43478894,1.0271795,-0.83694351,0.0014991991,-0.63178658,1.864123,1.0256803,11.207762,11.321922,10.97072,11.060558
25,MA,0.18398359,0.71045113,0.015840653,0.089724645,0.0024639999,0.062844142,0.17398711,0.085827485,0.67487729,0.30830956,0.050306231,0.35861549,0.072802909,0.17367589,427568.9,0.42991701,0.42395267,0.27612397,0.27411515,0.43555817,0.4646157,0.32375416,0.32717136,0.35134712,0.39925307,0.24121042,0.4063265,0.17466362,0.10805685,0.21066327,0.073361389,0.28554398,0.07579729,0.122467,0.060443468,0.11247245,0.10357161,0.24548219,0.069116943,0.34532377,0.19464381,0.45215675,0.15252285,0.43611628,0.34094843,0.77428663,-1.7018185,-2.3282979,-1.8752606,2.476105,3.1025846,11.132871,11.210851,10.678261,10.476582
26,MI,0.2512866,0.4391664,0.12205812,0.18748891,0.0076973094,0.031568788,0.069226108,0.18871678,0.70279104,0.42517531,0.06128417,0.48644489,0.051426426,0.12811372,688347.25,0.57994318,0.28822708,0.20715186,0.21946886,0.61491084,0.27861604,0.25471014,0.26729077,0.49281836,0.26326746,0.17733465,0.27855995,0.16457339000000001,0.15356334,0.31989694,0.11573316,0.25092724,0.10472237,0.19760206,0.080552846,0.12133467,0.13989903,0.33553845,0.10370685,0.22559287,0.19176114,0.51403153,0.14185652,0.2522971,-0.36452952,0.14895532,-3.0496938,-1.3686396,-1.5164987,3.1986492,1.5175949,10.823461,10.896092,10.348941,10.612398
27,MN,0.20313223,0.37080985,0.22165073,0.20440719,0.01889717,0.066482566,0.084203541,0.10204693,0.72836977,0.30042535,0.079763465,0.38018554,0.077713609,0.14635266,377590.45,0.39223164,0.2519086,0.1668714,0.17287427,0.38265699,0.23471311,0.20118357,0.2116262,0.38640144,0.33072364,0.21195988,0.34278071,0.16022171,0.10405383,0.33269358,0.076242991,0.22133876,0.061988648,0.14807765,0.047117107,0.085045822,0.073458664,0.33836469,0.051214829,0.16012199,0.14347894,0.45777193,0.11818628,0.26115155,0.48806956,0.8055653,-2.6957703,-0.92369908,-2.5796216,3.5013356,1.7292644,11.018426,11.062576,10.3331,10.655752
28,MS,0.10521165,0.13421339,0.27603686,0.48453808,0.0022272053,0.010014906,0.03016343,0.49245796,0.46513653,0.6543901,0.080200948,0.73383695,0.019761231,0.13422444,222855.3,0.39696157,0.21432528,0.19214557,0.21881865,0.44784388,0.15305698,0.22278811,0.24052542,0.65507704,0.20309229,0.1497186,0.24612677,0.13242425,0.2165271,0.34983259,0.12866232,0.2671186,0.094080009,0.14982305,0.065145276,0.083432391,0.16278958,0.29396662,0.088885628,0.13890709,0.26445276,0.49016014,0.14284022,0.19645126,-0.96472603,0.12933752,-2.8682401,-0.90245831,-2.1119037,2.9975777,1.0317959,10.576211,10.798746,10.169878,10.562425
29,MO,0.19709252,0.35176957,0.2120112,0.23912673,0.004405024,0.019882722,0.055343989,0.16921949,0.75114876,0.42269543,0.076033756,0.49852458,0.029791554,0.1363211,408486,0.51768267,0.24309212,0.17613305,0.20154023,0.55116832,0.2036525,0.21501228,0.23893681,0.51572216,0.26456714,0.18074811,0.27554768,0.18786524,0.14428426,0.27927873,0.11856402,0.24300252,0.074304752,0.14816351,0.059203964,0.077474028,0.1202267,0.28618804,0.096146241,0.15743621,0.18419281,0.50837415,0.14404261,0.21760301,-0.14273666,0.22112796,-2.5277874,-0.82834387,-1.2649,2.7489154,1.0494719,10.785765,10.84499,10.375848,10.605211
30,MT,0.23803797,0.027730798,0.38849378,0.34573746,0.1198619,0.0087330043,0.041015618,0.010066246,0.82032323,0.36862773,0.089495987,0.45750695,0.02901705,0.12275598,65705.8,0.16384777,0.11641641,0.1529268,0.22145632,0.032380164,0.05763334,0.1882879,0.24060276,0.49904501,0.28983194,0.23458071,0.30421448,0.19275792,0.14445667,0.2113976,0.1240942,0.24000727,0.064403191,0.10951476,0.048788927,0.069463514,0.09421055,0.22340374,0.079336435,0.18546025,0.13460255,0.23587085,0.11902755,0.23184916,0.11868019,0.36621794,-1.1871063,-0.96628529,-2.7146339,1.5533242,1.3325032,10.754933,10.785593,10.423528,10.494246
31,NE,0.43057215,0.1000595,0.23324722,0.23612112,0.015049635,0.024313629,0.1738859,0.072207458,0.7145434,0.35177302,0.093883738,0.445656,0.065181769,0.15081213,133624.65,0.39348793,0.32243079,0.18299466,0.20676902,0.35282046,0.34598333,0.22074972,0.25411797,0.46109986,0.29097506,0.20617566,0.31388402,0.10783153,0.11943379,0.30971363,0.09071622,0.23884381,0.049098171,0.13042174,0.03896546,0.078311406,0.082932882,0.29299501,0.062974326,0.16853359,0.14952737,0.47597533,0.12464539,0.22889625,0.32194757,0.62852859,-2.4822278,-0.98401803,-2.8891494,3.1107564,1.6125467,10.866682,10.916302,10.306331,10.594054
32,NV,0.58641648,0.32105142,0.06626644,0.026265686,0.01194338,0.06504342,0.42597002,0.11007207,0.38697112,0.47164685,0.07998132,0.55144066,0.168175,0.11485294,209224.8888888889,0.28088149,0.24398355,0.22281097,0.24453376,0.29518479,0.29989317,0.27000943,0.28816545,0.56294858,0.22619195,0.18352515,0.27536133,0.097645737,0.13499388,0.2311544,0.094769776,0.19340518,0.088980392,0.13968995,0.077587239,0.089825466,0.094981641,0.21244499,0.065902449,0.14061922,0.19518897,0.40708807,0.15170555,0.2265804,-0.11037563,0.36714479,-1.7557005,-0.7511723,-1.6123862,2.1228454,1.1183171,10.900863,10.995969,10.565711,10.726751
33,NH,0.13906436,0.35895592,0.15537645,0.3466033,0.0031160964,0.030896034,0.04596965,0.020092014,0.89992619,0.22354242,0.052254308,0.27579674,0.021408562,0.15807097,85426.6,0.17836675,0.21708593,0.13991639,0.13682146,0.061098762,0.13164905,0.1484156,0.15591678,0.2751177,0.34051779,0.29281133,0.33503973,0.25218794,0.081782654,0.21424897,0.075477898,0.18534762,0.057905033,0.097309142,0.05182609,0.09936069,0.068118595,0.21518293,0.063800968,0.17792153,0.14104673,0.27282065,0.13680619,0.29551902,0.6535688,0.72073215,-0.93262881,-0.81062192,-0.75856978,1.653361,1.5313541,11.104072,11.111776,10.771813,10.842776
34,NJ,0.09568312,0.80849117,0.016341226,0.079484463,0.0012481175,0.09801919,0.23519459,0.15585381,0.50968426,0.30065781,0.057838287,0.35848019,0.045326017,0.16346782,593174.4,0.51827806,0.44490829,0.32239911,0.34422451,0.55964762,0.50776315,0.36832541,0.40368643,0.38340688,0.36279359,0.22516103,0.38236776,0.17146325,0.099048547,0.18592659,0.057610068,0.18637313,0.076062299,0.13208441,0.064088635,0.083688527,0.072257921,0.16768223,0.034113675,0.17062847,0.18985878,0.44193965,0.13079622,0.28991461,0.4623552,0.99619961,-1.3779314,-0.82055277,-1.1193541,2.374131,1.8167523,11.187133,11.311961,10.767461,10.80993
35,NM,0.44987971,0.090262473,0.29703602,0.16282183,0.097025216,0.012322555,0.61670059,0.020608973,0.25334266,0.63468719,0.080968603,0.71361661,0.1516221,0.142703,150652.4,0.17352459,0.19619358,0.26720244,0.33741379,0.11165545,0.21612516,0.30801949,0.32916862,0.73343432,0.25941202,0.26768222,0.37818524,0.1502499,0.19709229,0.24896002,0.11479704,0.2437828,0.084473208,0.09654741,0.058935042,0.08931414,0.13840127,0.18845543,0.075224422,0.20046639,0.21123646,0.27414119,0.1392321,0.25906241,-0.51698148,0.45838886,-1.1267443,-1.2149029,-2.2121937,1.5851332,1.6732917,10.700344,10.892964,10.520247,10.522318
36,NY,0.12824136,0.58150309,0.10841057,0.18184496,0.0057361051,0.088730738,0.23946853,0.17159879,0.49446583,0.44231871,0.064063758,0.50636733,0.042468321,0.15623957,1162825.65,0.61493254,0.53176188,0.28170508,0.24492843,0.66399682,0.58976835,0.33933282,0.29454666,0.4192225,0.33552334,0.22295515,0.37754256,0.17035729,0.14711401,0.22220607,0.095015109,0.24746595,0.077540271,0.12144089,0.057906672,0.095415875,0.13356194,0.24886963,0.075757898,0.28828973,0.22841328,0.49254507,0.14372416,0.37345213,-0.12017114,0.63722748,-1.8837066,-1.7314824,-1.7675931,2.5209341,2.3687098,10.978631,11.116055,10.644992,10.61888
37,NC,0.33939859,0.17217886,0.069577366,0.41884521,0.013977844,0.02919526,0.15228093,0.27446926,0.53007668,0.48733938,0.069102243,0.55620998,0.06662783,0.12615375,695563.2,0.3143532,0.21578856,0.2217824,0.15364936,0.36120734,0.24257725,0.26137635,0.19083482,0.52032214,0.27854925,0.19581397,0.31488186,0.12955911,0.16001984,0.25575054,0.10866824,0.30267236,0.08261206,0.13444728,0.066496752,0.084267721,0.12259525,0.25526932,0.077587463,0.17208788,0.20109102,0.44046664,0.13217366,0.20885737,-0.27084145,0.37660393,-2.0946603,-1.1897011,-1.6794536,2.4712644,1.5663049,10.763955,10.891347,10.410332,10.481818
38,ND,0.29474777,0.1148271,0.21147344,0.3789517,0.091158226,0.013132165,0.034927394,0.03437455,0.82640767,0.26187915,0.072277419,0.33410931,0.034109764,0.13265887,45527.2,0.1844494,0.19657201,0.11428951,0.15518521,0.071207196,0.083234534,0.13727549,0.18247396,0.34999594,0.27568951,0.23879772,0.29252687,0.17793021,0.11461659,0.32749176,0.091254525,0.21197246,0.034068432,0.10861543,0.026977483,0.072345518,0.072649382,0.24142927,0.056254048,0.18924595,0.12688085,0.31132627,0.10656787,0.2084035,0.48643711,0.72861034,-1.8362398,-0.80779195,-2.5272527,2.5648501,1.5364022,10.886888,10.92628,10.275696,10.599798
39,OH,0.18217146,0.44453219,0.13546759,0.23782876,0.0013708848,0.020949215,0.046618257,0.16676578,0.76429588,0.41138995,0.064971976,0.47632027,0.027064523,0.1480027,788951.8,0.53697973,0.25260305,0.21534681,0.28112489,0.56084383,0.20079282,0.26211938,0.32116011,0.48635504,0.25457233,0.17081904,0.26449546,0.17852509,0.14674912,0.31927612,0.1142604,0.26852769,0.08461874,0.16256568,0.066856109,0.10478513,0.12730536,0.30553889,0.097782359,0.232134,0.19802567,0.5153951,0.15517111,0.28880414,-0.25156122,0.17417932,-2.8530819,-1.4786892,-1.8442469,3.0272613,1.6528685,10.807995,10.88185,10.274871,10.546361
40,OK,0.21773212,0.23754349,0.24511734,0.29960707,0.17034844,0.020634685,0.15345633,0.10057866,0.55498189,0.53399312,0.097963654,0.63172835,0.071644053,0.23452032,292772.6,0.34053689,0.26132441,0.16104268,0.19385149,0.33953261,0.293825,0.19987892,0.22341813,0.60192752,0.23730677,0.19198279,0.26363695,0.1081216,0.1642983,0.29749617,0.12792826,0.26812333,0.062336836,0.11357655,0.052478019,0.061486267,0.12663992,0.27161127,0.10133606,0.17178825,0.18504396,0.43898568,0.15099114,0.20878361,-0.23370185,0.15446222,-2.2247839,-0.99459249,-1.092186,2.379246,1.1490546,10.726167,10.805671,10.313793,10.515692
41,OR,0.4182758,0.21210563,0.27139309,0.098225467,0.01716187,0.043825194,0.22992682,0.025866006,0.68322009,0.45040917,0.077729337,0.52813613,0.099346176,0.14453219,259154.65,0.28203532,0.18235882,0.12458843,0.24165869,0.19925642,0.20937929,0.15798639,0.27002427,0.55759573,0.30280265,0.24326733,0.32199967,0.13363951,0.14741677,0.30033863,0.12483146,0.25387359,0.088262938,0.14216039,0.079050109,0.092263393,0.15777919,0.34590089,0.14041358,0.27795455,0.16192341,0.38602611,0.14891115,0.22455971,-0.18272804,0.048554782,-2.3365326,-1.369181,-1.9834788,2.3850873,1.4177358,10.861542,10.891728,10.410698,10.616495
42,PA,0.20937243,0.51076221,0.10663506,0.17323031,0.0015789503,0.035903379,0.097954884,0.15368415,0.71087861,0.38977164,0.055583149,0.44510952,0.029404648,0.17246225,791588.6,0.53976083,0.44460955,0.26598299,0.25299332,0.57489949,0.45877075,0.31478634,0.29884818,0.4473204,0.28013712,0.17461224,0.28797013,0.14836054,0.12781717,0.28036815,0.092871964,0.30874017,0.076781407,0.15384169,0.059459724,0.12463806,0.1119412,0.29006991,0.079962477,0.3239103,0.18377045,0.50867587,0.14056073,0.36308452,-0.0071561523,0.42367536,-2.5594761,-2.2369206,-1.7999301,2.9831514,2.6605959,10.880077,10.944348,10.404137,10.460464
